id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,pymnt_plan,url,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,fico_range_low,fico_range_high,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,last_fico_range_high,last_fico_range_low,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,application_type,annual_inc_joint,dti_joint,verification_status_joint,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_act_il,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_bc_dlq,mths_since_recent_inq,mths_since_recent_revol_delinq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,revol_bal_joint,sec_app_fico_range_low,sec_app_fico_range_high,sec_app_earliest_cr_line,sec_app_inq_last_6mths,sec_app_mort_acc,sec_app_open_acc,sec_app_revol_util,sec_app_open_act_il,sec_app_num_rev_accts,sec_app_chargeoff_within_12_mths,sec_app_collections_12_mths_ex_med,sec_app_mths_since_last_major_derog,hardship_flag,hardship_type,hardship_reason,hardship_status,deferral_term,hardship_amount,hardship_start_date,hardship_end_date,payment_plan_start_date,hardship_length,hardship_dpd,hardship_loan_status,orig_projected_additional_accrued_interest,hardship_payoff_balance_amount,hardship_last_payment_amount,disbursement_method,debt_settlement_flag,debt_settlement_flag_date,settlement_status,settlement_date,settlement_amount,settlement_percentage,settlement_term
90091247,,6500.0,6500.0,6500.0, 36 months,9.49,208.19,B,B2,General Manager ,3 years,RENT,50000.0,Not Verified,Sep-2016,Current,n,https://lendingclub.com/browse/loanDetail.action?loan_id=90091247,,credit_card,Credit card refinancing,336xx,FL,18.29,0.0,Oct-2012,705.0,709.0,1.0,,,8.0,0.0,6106.0,34.9,9.0,w,1215.04,1215.04,6242.27,6242.27,5284.96,957.31,0.0,0.0,0.0,Mar-2019,208.19,Apr-2019,Mar-2019,679.0,675.0,0.0,,1.0,Individual,,,,0.0,0.0,52906.0,0.0,5.0,2.0,4.0,10.0,46800.0,96.0,1.0,2.0,3414.0,80.0,17500.0,0.0,1.0,1.0,6.0,6613.0,11394.0,34.9,0.0,0.0,39.0,47.0,12.0,10.0,0.0,12.0,,6.0,,0.0,3.0,3.0,3.0,3.0,6.0,3.0,3.0,3.0,8.0,0.0,0.0,0.0,3.0,100.0,0.0,0.0,0.0,66073.0,52906.0,17500.0,48573.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
140327920,,4800.0,4800.0,4800.0, 36 months,13.56,163.03,C,C1,,,MORTGAGE,34500.0,Verified,Sep-2018,Current,n,https://lendingclub.com/browse/loanDetail.action?loan_id=140327920,,debt_consolidation,Debt consolidation,325xx,FL,22.33,0.0,Aug-2006,685.0,689.0,0.0,,,11.0,0.0,19858.0,79.8,19.0,w,4128.53,4128.53,993.55,993.55,671.47,322.08,0.0,0.0,0.0,Mar-2019,163.03,Apr-2019,Mar-2019,664.0,660.0,0.0,,1.0,Joint App,69500.0,28.63,Verified,0.0,0.0,127581.0,0.0,0.0,0.0,1.0,18.0,0.0,,0.0,0.0,5079.0,80.0,24900.0,0.0,3.0,0.0,1.0,11598.0,3237.0,76.2,0.0,0.0,145.0,42.0,32.0,18.0,1.0,32.0,,19.0,,0.0,4.0,10.0,4.0,5.0,6.0,10.0,12.0,10.0,11.0,0.0,0.0,0.0,0.0,100.0,75.0,0.0,0.0,144997.0,19858.0,13600.0,0.0,35142.0,635.0,639.0,Aug-2006,1.0,1.0,22.0,84.6,4.0,22.0,0.0,0.0,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
6156668,,20000.0,20000.0,19875.0, 60 months,9.71,422.1,B,B1,BayCare Health System,4 years,MORTGAGE,120000.0,Source Verified,Aug-2013,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=6156668,  Borrower added on 07/24/13 > We are installing an I ground pool and deck which we will enjoy for years to come. And in our region tends to increase property values.<br>,home_improvement,Pool,335xx,FL,7.71,0.0,Feb-1991,710.0,714.0,0.0,,,12.0,0.0,70059.0,22.7,33.0,f,0.0,0.0,24401.16,24248.65,20000.0,4401.16,0.0,0.0,0.0,Aug-2016,9627.66,,Aug-2016,784.0,780.0,0.0,,1.0,Individual,,,,0.0,153.0,185584.0,,,,,,,,,,,,109300.0,,,,3.0,18558.0,26587.0,28.7,0.0,0.0,139.0,198.0,5.0,5.0,3.0,40.0,,,,0.0,2.0,4.0,3.0,14.0,9.0,7.0,20.0,4.0,12.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,247037.0,76182.0,37300.0,20444.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
46717182,,11200.0,11200.0,11200.0, 36 months,13.99,382.74,C,C4,Fronter,< 1 year,MORTGAGE,35000.0,Not Verified,Apr-2015,Charged Off,n,https://lendingclub.com/browse/loanDetail.action?loan_id=46717182,,debt_consolidation,Debt consolidation,346xx,FL,19.96,0.0,Oct-2005,675.0,679.0,0.0,,,5.0,0.0,8613.0,92.6,8.0,w,0.0,0.0,5016.93,5016.93,2941.31,1260.13,0.0,815.49,146.7882,Mar-2016,382.74,,Oct-2016,544.0,540.0,0.0,,1.0,Individual,,,,0.0,0.0,25642.0,,,,,,,,,,,,9300.0,,,,2.0,5128.0,687.0,92.6,0.0,0.0,14.0,114.0,3.0,3.0,0.0,3.0,,14.0,,0.0,4.0,4.0,4.0,7.0,1.0,4.0,7.0,4.0,5.0,0.0,0.0,0.0,1.0,100.0,50.0,0.0,0.0,29271.0,25642.0,9300.0,19971.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
364254,,14800.0,14800.0,3400.0, 36 months,10.83,483.35,B,B3,Versus,1 year,RENT,50000.0,Not Verified,Dec-2008,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=364254,My father needs to buy a truck.  He's been in business for more than 30 years.,major_purchase,Olf Veldhuisloan,068xx,CT,5.52,0.0,Oct-2001,720.0,724.0,2.0,37.0,,7.0,0.0,3943.0,12.2,24.0,f,0.0,0.0,14933.780000004,3430.86,14800.0,133.78,0.0,0.0,0.0,Jan-2009,14933.97,,Apr-2018,824.0,820.0,0.0,,1.0,Individual,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
126909973,,22000.0,22000.0,22000.0, 60 months,9.93,466.68,B,B2,IT Devl Manager,10+ years,MORTGAGE,146000.0,Not Verified,Jan-2018,Current,n,https://lendingclub.com/browse/loanDetail.action?loan_id=126909973,,home_improvement,Home improvement,553xx,MN,19.13,0.0,Jun-1995,745.0,749.0,0.0,51.0,,21.0,0.0,7962.0,10.9,42.0,w,18110.4,18110.4,6145.73,6145.73,3889.6,2256.13,0.0,0.0,0.0,Mar-2019,466.68,Apr-2019,Mar-2019,664.0,660.0,0.0,,1.0,Individual,,,,0.0,0.0,328026.0,0.0,3.0,0.0,6.0,15.0,98199.0,69.0,0.0,1.0,1220.0,25.0,73200.0,2.0,14.0,5.0,9.0,15620.0,24668.0,6.6,0.0,0.0,167.0,271.0,21.0,9.0,5.0,26.0,,2.0,51.0,0.0,3.0,5.0,7.0,8.0,17.0,17.0,20.0,5.0,21.0,0.0,0.0,0.0,1.0,97.6,0.0,0.0,0.0,425627.0,106161.0,26400.0,128427.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
130871715,,10000.0,10000.0,10000.0, 36 months,20.39,373.63,D,D4,Manager Web Production and Support,10+ years,RENT,119535.0,Verified,Apr-2018,Current,n,https://lendingclub.com/browse/loanDetail.action?loan_id=130871715,,other,Other,208xx,MD,17.66,0.0,Dec-2003,670.0,674.0,0.0,,,9.0,0.0,36645.0,94.4,13.0,w,7558.73,7558.73,4098.6,4098.6,2441.27,1657.33,0.0,0.0,0.0,Mar-2019,373.63,Apr-2019,Mar-2019,594.0,590.0,0.0,,1.0,Individual,,,,0.0,0.0,327519.0,1.0,1.0,0.0,1.0,21.0,11005.0,46.0,1.0,2.0,11135.0,76.0,38800.0,1.0,0.0,0.0,3.0,36391.0,2155.0,94.4,0.0,0.0,171.0,99.0,1.0,1.0,2.0,1.0,,21.0,,0.0,7.0,7.0,7.0,7.0,3.0,7.0,8.0,7.0,9.0,0.0,0.0,0.0,1.0,100.0,71.4,0.0,0.0,403800.0,47650.0,38800.0,24000.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
122278433,,3600.0,3600.0,3600.0, 36 months,18.06,130.26,D,D2,Store manager,3 years,RENT,42000.0,Verified,Nov-2017,Current,n,https://lendingclub.com/browse/loanDetail.action?loan_id=122278433,,debt_consolidation,Debt consolidation,143xx,NY,32.65,0.0,Jun-2005,660.0,664.0,2.0,36.0,,13.0,0.0,4647.0,51.1,23.0,f,2235.18,2235.18,2080.55,2080.55,1364.82,715.73,0.0,0.0,0.0,Mar-2019,130.26,Apr-2019,Mar-2019,709.0,705.0,0.0,39.0,1.0,Individual,,,,0.0,0.0,20048.0,2.0,4.0,1.0,3.0,6.0,15401.0,25.0,1.0,1.0,979.0,28.0,9100.0,3.0,0.0,2.0,4.0,1542.0,313.0,93.5,0.0,0.0,148.0,123.0,6.0,6.0,0.0,6.0,36.0,6.0,36.0,1.0,6.0,7.0,6.0,7.0,11.0,9.0,12.0,7.0,13.0,0.0,0.0,0.0,2.0,60.9,100.0,0.0,0.0,70925.0,20048.0,4800.0,61825.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
127895935,,28000.0,28000.0,28000.0, 60 months,7.34,558.94,A,A4,RN,2 years,MORTGAGE,68000.0,Source Verified,Mar-2018,Current,n,https://lendingclub.com/browse/loanDetail.action?loan_id=127895935,,debt_consolidation,Debt consolidation,320xx,FL,44.3,0.0,Jul-1998,740.0,744.0,0.0,,,17.0,0.0,21139.0,33.6,36.0,w,23188.18,23188.18,6695.86,6695.86,4811.82,1884.04,0.0,0.0,0.0,Mar-2019,558.94,Apr-2019,Mar-2019,774.0,770.0,0.0,,1.0,Joint App,123000.0,27.73,Source Verified,0.0,0.0,252737.0,2.0,3.0,0.0,2.0,13.0,88619.0,51.0,1.0,2.0,10620.0,37.0,63000.0,4.0,0.0,1.0,5.0,14867.0,34149.0,33.3,0.0,0.0,95.0,235.0,3.0,3.0,4.0,19.0,,4.0,,0.0,4.0,6.0,9.0,12.0,9.0,13.0,23.0,6.0,17.0,0.0,0.0,0.0,2.0,100.0,11.1,0.0,0.0,314394.0,109758.0,51200.0,107629.0,33101.0,690.0,694.0,Jul-1998,0.0,4.0,16.0,38.8,3.0,19.0,0.0,0.0,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
124968186,,9800.0,9800.0,9800.0, 36 months,12.62,328.41,C,C1,Manager,1 year,RENT,47000.0,Source Verified,Dec-2017,Current,n,https://lendingclub.com/browse/loanDetail.action?loan_id=124968186,,other,Other,096xx,NY,11.22,2.0,Nov-2007,685.0,689.0,0.0,22.0,,8.0,0.0,13916.0,44.6,16.0,w,3939.91,3939.91,7062.41,7062.41,5860.09,1202.32,0.0,0.0,0.0,Mar-2019,328.41,Apr-2019,Mar-2019,724.0,720.0,0.0,22.0,1.0,Individual,,,,0.0,0.0,108903.0,0.0,4.0,0.0,1.0,14.0,94987.0,136.0,0.0,1.0,109.0,92.0,31200.0,0.0,1.0,0.0,2.0,13613.0,11391.0,0.9,0.0,0.0,120.0,110.0,14.0,14.0,0.0,46.0,22.0,14.0,22.0,1.0,1.0,2.0,2.0,5.0,8.0,4.0,7.0,2.0,8.0,0.0,0.0,1.0,0.0,81.3,0.0,0.0,0.0,107398.0,108903.0,11500.0,76198.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
